label,z,x,y,cell_properties,cell_type
2494,107.9090909090909,275.3716283716284,2.774225774225774,"Lhx2-, HnF4a-",2
2495,107.4934117170079,290.743361037908,741.6519359416177,"Lhx2-, HnF4a-",2
2496,109.01719901719902,289.7290070819483,725.8035843329961,"Lhx2+, HnF4a-",0
2497,107.59704880817252,305.96897465001894,414.4657586076429,"Lhx2-, HnF4a-",2
2498,108.16347001763668,308.7634479717813,146.55213844797177,"Lhx2-, HnF4a+",1
2499,107.61687777595,323.1896693535121,399.0822503701266,"Lhx2-, HnF4a-",2
2500,105.3795580859428,335.6460620848584,232.10329402196007,"Lhx2+, HnF4a-",0
2501,108.01941013360222,336.6619611797328,255.12301487269977,"Lhx2-, HnF4a-",2
2502,107.68213523131672,355.50306049822063,273.63544483985766,"Lhx2-, HnF4a-",2
2503,107.0666078517865,356.8420820467578,437.6715924128805,"Lhx2-, HnF4a-",2
2504,106.88104291146117,374.0441788882853,509.0260727865291,"Lhx2-, HnF4a-",2
2505,107.56032568467802,377.5540340488527,779.4577350111028,"Lhx2-, HnF4a+",1
2506,105.12991319025802,386.3536291294912,584.0647455992283,"Lhx2-, HnF4a-",2
2507,106.71178178801078,386.5245799626633,294.8905828666252,"Lhx2+, HnF4a-",0
2508,107.9780548628429,2.665835411471322,115.59451371571072,"Lhx2-, HnF4a-",2
2509,108.42887931034484,5.5744731800766285,435.62452107279694,"Lhx2-, HnF4a-",2
2510,108.98074730842303,10.03571880937302,560.85497150095,"Lhx2-, HnF4a-",2
2511,110.47881224868544,15.646149087534797,488.6999690689762,"Lhx2+, HnF4a-",0
2512,108.02555168408828,28.3778552071235,608.5433604336043,"Lhx2-, HnF4a-",2
2513,107.6093785567949,31.61734577737309,783.7796494422946,"Lhx2-, HnF4a-",2
2514,108.37156231714452,37.58221181977765,24.22966647162083,"Lhx2-, HnF4a-",2
2515,109.05852867462777,42.99616688780775,244.33185905941323,"Lhx2-, HnF4a-",2
2516,109.040407903123,66.9261950286807,725.7066921606119,"Lhx2-, HnF4a+",1
2517,108.21938377535102,67.0618174726989,793.6829173166926,"Lhx2-, HnF4a-",2
2518,108.32496463932108,74.52616690240453,593.8479490806224,"Lhx2-, HnF4a-",2
2519,108.30972876400844,115.72616534026312,408.3984083157382,"Lhx2-, HnF4a-",2
2520,108.88768739247972,117.9906610960924,350.6320963381666,"Lhx2-, HnF4a-",2
2521,108.07035264930002,128.76306928938507,239.1756158071948,"Lhx2-, HnF4a-",2
2522,109.39218812275809,137.8425667596652,225.55001992825828,"Lhx2-, HnF4a+",1
